classification,n_trades,total_pnl,avg_pnl,median_pnl,win_rate_%,avg_win,avg_loss,profit_factor,avg_position_usd,median_position_usd,avg_fee
Extreme Fear,10406.0,739110.24849,71.02731582644628,6.38805,76.21564482029598,173.42476737384948,-257.099628909899,2.1615357233166548,5467.570418989045,836.9,1.175306679704017
Fear,29808.0,3357155.4416419994,112.62598770940686,6.3504830000000005,87.28864734299516,151.84093464783427,-156.6624008867775,6.655644032349053,8041.140445182501,749.885,1.576731610305958
Neutral,18159.0,1292920.67555,71.19999314664905,4.583458,82.38889806707418,112.43943157723415,-121.72784874202627,4.321264581464444,5556.444833415937,556.8,1.2259865053692385
Greed,25176.0,2150129.2729510004,85.4039272700588,4.9276,76.89068954559899,165.76171050769707,-181.9673288169474,3.030941598681295,5438.671763981571,554.99,1.1788086678582776
Extreme Greed,20853.0,2715171.310673,130.20530910051312,8.53074,89.16702632714717,160.59326895165105,-119.92028871801683,11.022783278248012,2779.563632091306,436.23,0.6553427589315686
